athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Robinson, Torie",Clemson,ACC,400H,2016,SO-2,,,1:01.47,s,Alan Connie Shamrock Invitational,2016-03-17,,,,Outdoor,https://www.tfrrs.org/results/42962/2717464/Alan_Connie_Shamrock_Invitational/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2016,FR-1,,,59.49,s,Alan Connie Shamrock Invitational,2016-03-17,,,,Outdoor,https://www.tfrrs.org/results/42962/2717464/Alan_Connie_Shamrock_Invitational/400-Hurdles,TFRRS all_performances
"Coppin, Tanisha",Clemson,ACC,400m,2016,SR-4,,,54.19,s,Alan Connie Shamrock Invitational,2016-03-17,,,,Outdoor,https://www.tfrrs.org/results/42962/2717476/Alan_Connie_Shamrock_Invitational/400-Meters,TFRRS all_performances
"Farrow, Ersula",Clemson,ACC,400m,2016,FR-1,,,56.17,s,Alan Connie Shamrock Invitational,2016-03-17,,,,Outdoor,https://www.tfrrs.org/results/42962/2717476/Alan_Connie_Shamrock_Invitational/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2016,JR-3,,,54.07,s,Alan Connie Shamrock Invitational,2016-03-17,,,,Outdoor,https://www.tfrrs.org/results/42962/2717476/Alan_Connie_Shamrock_Invitational/400-Meters,TFRRS all_performances
"Amsterdam, Iana",Clemson,ACC,Long Jump,2016,JR-3,,,5.34,m,Alan Connie Shamrock Invitational,2016-03-17,,,0.5,Outdoor,https://www.tfrrs.org/results/42962/2717516/Alan_Connie_Shamrock_Invitational/Long-Jump,TFRRS all_performances
"Robinson, Torie",Clemson,ACC,400H,2016,SO-2,,,1:01.08,s,Georgia Tech Yellow Jacket Invitational,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44155/2737352/Georgia_Tech_Yellow_Jacket_Invitational/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2016,FR-1,,,59.66,s,Georgia Tech Yellow Jacket Invitational,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44155/2737352/Georgia_Tech_Yellow_Jacket_Invitational/400-Hurdles,TFRRS all_performances
"Coppin, Tanisha",Clemson,ACC,400m,2016,SR-4,,,55.40,s,Georgia Tech Yellow Jacket Invitational,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44155/2737345/Georgia_Tech_Yellow_Jacket_Invitational/400-Meters,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2016,JR-3,,,54.63,s,Georgia Tech Yellow Jacket Invitational,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44155/2737345/Georgia_Tech_Yellow_Jacket_Invitational/400-Meters,TFRRS all_performances
"Amsterdam, Iana",Clemson,ACC,Long Jump,2016,JR-3,,,5.20,m,Georgia Tech Yellow Jacket Invitational,2016-03-25,,,1.0,Outdoor,https://www.tfrrs.org/results/44155/2737354/Georgia_Tech_Yellow_Jacket_Invitational/Long-Jump,TFRRS all_performances
"Robinson, Torie",Clemson,ACC,400H,2016,SO-2,,,1:04.65,s,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,,,,Outdoor,https://www.tfrrs.org/results/43409/2758976/2016_Nike_Clyde_Littlefield_Texas_Relays/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2016,FR-1,,,1:00.17,s,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,,,,Outdoor,https://www.tfrrs.org/results/43409/2758976/2016_Nike_Clyde_Littlefield_Texas_Relays/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,100H,2016,FR-1,,,13.87,s,Tiger Track Classic,2016-04-08,,,0.3,Outdoor,https://www.tfrrs.org/results/41484/2782473/Tiger_Track_Classic/100-Hurdles,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2016,JR-3,,,54.31,s,Tiger Track Classic,2016-04-08,,,,Outdoor,https://www.tfrrs.org/results/41484/2782480/Tiger_Track_Classic/400-Meters,TFRRS all_performances
"Parrish, Deja",Clemson,ACC,400m,2016,SO-2,,,53.48,s,Tiger Track Classic,2016-04-08,,,,Outdoor,https://www.tfrrs.org/results/41484/2782480/Tiger_Track_Classic/400-Meters,TFRRS all_performances
"Amsterdam, Iana",Clemson,ACC,Long Jump,2016,JR-3,,,5.46,m,Tiger Track Classic,2016-04-08,,,1.4,Outdoor,https://www.tfrrs.org/results/41484/2782465/Tiger_Track_Classic/Long-Jump,TFRRS all_performances
"Land, Mimi",Clemson,ACC,Long Jump,2016,SR-4,,,5.72,m,Tiger Track Classic,2016-04-08,,,0.8,Outdoor,https://www.tfrrs.org/results/41484/2782465/Tiger_Track_Classic/Long-Jump,TFRRS all_performances
"Terrell, Anasterasia",Clemson,ACC,Long Jump,2016,JR-3,,,5.75,m,Tiger Track Classic,2016-04-08,,,0.1,Outdoor,https://www.tfrrs.org/results/41484/2782465/Tiger_Track_Classic/Long-Jump,TFRRS all_performances
"Robinson, Torie",Clemson,ACC,400H,2016,SO-2,,,1:02.13,s,LSU Alumni Gold,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/41857/2824988/LSU_Alumni_Gold/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2016,FR-1,,,59.31,s,LSU Alumni Gold,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/41857/2824965/LSU_Alumni_Gold/400-Hurdles,TFRRS all_performances
"James, Olivia",Clemson,ACC,400m,2016,JR-3,,,54.29,s,LSU Alumni Gold,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/41857/2824999/LSU_Alumni_Gold/400-Meters,TFRRS all_performances
"Parrish, Deja",Clemson,ACC,400m,2016,SO-2,,,53.15,s,LSU Alumni Gold,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/41857/2824999/LSU_Alumni_Gold/400-Meters,TFRRS all_performances
"Land, Mimi",Clemson,ACC,Long Jump,2016,SR-4,,,5.71,m,LSU Alumni Gold,2016-04-23,,,1.1,Outdoor,https://www.tfrrs.org/results/41857/2824960/LSU_Alumni_Gold/Long-Jump,TFRRS all_performances
"Terrell, Anasterasia",Clemson,ACC,Long Jump,2016,JR-3,,,5.52,m,LSU Alumni Gold,2016-04-23,,,1.6,Outdoor,https://www.tfrrs.org/results/41857/2824960/LSU_Alumni_Gold/Long-Jump,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,100H,2016,FR-1,,,14.25,s,Penn Relays,2016-04-28,,,0.8,Outdoor,https://www.tfrrs.org/results/46385/2856055/Penn_Relays/100-Hurdles,TFRRS all_performances
"Robinson, Torie",Clemson,ACC,400H,2016,SO-2,,,1:02.07,s,Penn Relays,2016-04-28,,,,Outdoor,https://www.tfrrs.org/results/46385/2848606/Penn_Relays/400-Hurdles,TFRRS all_performances
"Thomas, Markeeta",Clemson,ACC,400H,2016,FR-1,,,1:00.68,s,Penn Relays,2016-04-28,,,,Outdoor,https://www.tfrrs.org/results/46385/2848606/Penn_Relays/400-Hurdles,TFRRS all_performances
"Terrell, Anasterasia",Clemson,ACC,Long Jump,2016,JR-3,,,5.69,m,Georgia Invitational,2016-04-30,,,0.5,Outdoor,https://www.tfrrs.org/results/43403/2847093/Georgia_Invitational_/Long-Jump,TFRRS all_performances
