athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Sutton, April",Arizona,Big 12,100H,2018,SO-2,,,14.28,seconds,2018 Willie Williams Classic - College/Open,2018-03-16,,,0.2,Outdoor,https://www.tfrrs.org/results/54481/3348331/2018_Willie_Williams_Classic_-_College_Open/100-Hurdles,TFRRS all_performances
"Thompson, Alyssa",Arizona,Big 12,100H,2018,SR-4,,,14.79,seconds,2018 Willie Williams Classic - College/Open,2018-03-16,,,0.2,Outdoor,https://www.tfrrs.org/results/54481/3348331/2018_Willie_Williams_Classic_-_College_Open/100-Hurdles,TFRRS all_performances
"Akpede, Crystal",Arizona,Big 12,400m,2018,SO-2,,,59.10,seconds,2018 Willie Williams Classic - College/Open,2018-03-16,,,,Outdoor,https://www.tfrrs.org/results/54481/3348328/2018_Willie_Williams_Classic_-_College_Open/400-Meters,TFRRS all_performances
"Bryant, Malia",Arizona,Big 12,400m,2018,SO-2,,,55.93,seconds,2018 Willie Williams Classic - College/Open,2018-03-16,,,,Outdoor,https://www.tfrrs.org/results/54481/3348328/2018_Willie_Williams_Classic_-_College_Open/400-Meters,TFRRS all_performances
"Waggoner, Tatum",Arizona,Big 12,400m,2018,JR-3,,,53.17,seconds,2018 Willie Williams Classic - College/Open,2018-03-16,,,,Outdoor,https://www.tfrrs.org/results/54481/3348328/2018_Willie_Williams_Classic_-_College_Open/400-Meters,TFRRS all_performances
"Thompson, Alyssa",Arizona,Big 12,100H,2018,SR-4,,,14.93,seconds,40th Annual Aztec Open,2018-03-23,,,-1.8,Outdoor,https://www.tfrrs.org/results/52944/3363414/40th_Annual_Aztec_Open/100-Hurdles,TFRRS all_performances
"Thompson, Alyssa",Arizona,Big 12,400m,2018,SR-4,,,56.81,seconds,40th Annual Aztec Invitational,2018-03-24,,,,Outdoor,https://www.tfrrs.org/results/52948/3366242/40th_Annual_Aztec_Invitational/400-Meters,TFRRS all_performances
"Waggoner, Tatum",Arizona,Big 12,400m,2018,JR-3,,,53.87,seconds,40th Annual Aztec Invitational,2018-03-24,,,,Outdoor,https://www.tfrrs.org/results/52948/3366242/40th_Annual_Aztec_Invitational/400-Meters,TFRRS all_performances
"Sutton, April",Arizona,Big 12,100H,2018,SO-2,,,14.04,seconds,2018 Jim Click Shootout,2018-04-07,,,1.3,Outdoor,https://www.tfrrs.org/results/55267/3403770/2018_Jim_Click_Shootout/100-Hurdles,TFRRS all_performances
"Thompson, Alyssa",Arizona,Big 12,100H,2018,SR-4,,,14.66,seconds,2018 Jim Click Shootout,2018-04-07,,,-0.6,Outdoor,https://www.tfrrs.org/results/55267/3409681/2018_Jim_Click_Shootout/100-Hurdles,TFRRS all_performances
"Pahlitzsch, Karolina",Arizona,Big 12,400H,2018,SR-4,,,57.88,seconds,2018 Jim Click Shootout,2018-04-07,,,,Outdoor,https://www.tfrrs.org/results/55267/3403774/2018_Jim_Click_Shootout/400-Hurdles,TFRRS all_performances
"Sutton, April",Arizona,Big 12,400H,2018,SO-2,,,1:03.20,seconds,2018 Jim Click Shootout,2018-04-07,,,,Outdoor,https://www.tfrrs.org/results/55267/3403774/2018_Jim_Click_Shootout/400-Hurdles,TFRRS all_performances
"Akpede, Crystal",Arizona,Big 12,400m,2018,SO-2,,,58.66,seconds,2018 Jim Click Shootout,2018-04-07,,,,Outdoor,https://www.tfrrs.org/results/55267/3403792/2018_Jim_Click_Shootout/400-Meters,TFRRS all_performances
"Bryant, Malia",Arizona,Big 12,400m,2018,SO-2,,,55.99,seconds,2018 Jim Click Shootout,2018-04-07,,,,Outdoor,https://www.tfrrs.org/results/55267/3403792/2018_Jim_Click_Shootout/400-Meters,TFRRS all_performances
"Waggoner, Tatum",Arizona,Big 12,400m,2018,JR-3,,,53.92,seconds,2018 Jim Click Shootout,2018-04-07,,,,Outdoor,https://www.tfrrs.org/results/55267/3403792/2018_Jim_Click_Shootout/400-Meters,TFRRS all_performances
"Sutton, April",Arizona,Big 12,100H,2018,SO-2,,,14.04,seconds,Mt. SAC Relays,2018-04-19,,,1.4,Outdoor,https://www.tfrrs.org/results/56509/3454456/Mt_SAC_Relays/100-Hurdles,TFRRS all_performances
"Sutton, April",Arizona,Big 12,400H,2018,SO-2,,,1:02.34,seconds,Mt. SAC Relays,2018-04-19,,,,Outdoor,https://www.tfrrs.org/results/56509/3454427/Mt_SAC_Relays/400-Hurdles,TFRRS all_performances
"Bryant, Malia",Arizona,Big 12,400m,2018,SO-2,,,55.38,seconds,Mt. SAC Relays,2018-04-19,,,,Outdoor,https://www.tfrrs.org/results/56509/3454434/Mt_SAC_Relays/400-Meters,TFRRS all_performances
"Pahlitzsch, Karolina",Arizona,Big 12,400m,2018,SR-4,,,54.17,seconds,Mt. SAC Relays,2018-04-19,,,,Outdoor,https://www.tfrrs.org/results/56509/3454434/Mt_SAC_Relays/400-Meters,TFRRS all_performances
"Waggoner, Tatum",Arizona,Big 12,400m,2018,JR-3,,,53.02,seconds,Mt. SAC Relays,2018-04-19,,,,Outdoor,https://www.tfrrs.org/results/56509/3454554/Mt_SAC_Relays/400-Meters,TFRRS all_performances
"Sutton, April",Arizona,Big 12,100H,2018,SO-2,,,13.86,seconds,2018 Desert Heat Classic,2018-04-28,,,1.0,Outdoor,https://www.tfrrs.org/results/56056/3477480/2018_Desert_Heat_Classic/100-Hurdles,TFRRS all_performances
"Thompson, Alyssa",Arizona,Big 12,100H,2018,SR-4,,,14.35,seconds,2018 Desert Heat Classic,2018-04-28,,,-0.6,Outdoor,https://www.tfrrs.org/results/56056/3477480/2018_Desert_Heat_Classic/100-Hurdles,TFRRS all_performances
"Pahlitzsch, Karolina",Arizona,Big 12,400H,2018,SR-4,,,58.55,seconds,2018 Desert Heat Classic,2018-04-28,,,,Outdoor,https://www.tfrrs.org/results/56056/3477484/2018_Desert_Heat_Classic/400-Hurdles,TFRRS all_performances
"Sutton, April",Arizona,Big 12,400H,2018,SO-2,,,1:01.77,seconds,2018 Desert Heat Classic,2018-04-28,,,,Outdoor,https://www.tfrrs.org/results/56056/3477484/2018_Desert_Heat_Classic/400-Hurdles,TFRRS all_performances
"Akpede, Crystal",Arizona,Big 12,400m,2018,SO-2,,,58.68,seconds,2018 Desert Heat Classic,2018-04-28,,,,Outdoor,https://www.tfrrs.org/results/56056/3477491/2018_Desert_Heat_Classic/400-Meters,TFRRS all_performances
"Bryant, Malia",Arizona,Big 12,400m,2018,SO-2,,,55.20,seconds,2018 Desert Heat Classic,2018-04-28,,,,Outdoor,https://www.tfrrs.org/results/56056/3477491/2018_Desert_Heat_Classic/400-Meters,TFRRS all_performances
"Gajda, Diana",Arizona,Big 12,400m,2018,JR-3,,,54.64,seconds,2018 Desert Heat Classic,2018-04-28,,,,Outdoor,https://www.tfrrs.org/results/56056/3477491/2018_Desert_Heat_Classic/400-Meters,TFRRS all_performances
