athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Bonds, Tiana",Arizona,Big 12,100H,2016,SO-2,,,14.75,seconds,Willie Williams Classic,2016-03-18,,,1.1,Outdoor,https://www.tfrrs.org/results/43804/2718917/Willie_Williams_Classic/100-Hurdles,TFRRS all_performances
"Hicks, Traci",Arizona,Big 12,100H,2016,SR-4,,,14.03,seconds,Willie Williams Classic,2016-03-18,,,1.1,Outdoor,https://www.tfrrs.org/results/43804/2718917/Willie_Williams_Classic/100-Hurdles,TFRRS all_performances
"Struble, Morgan",Arizona,Big 12,400H,2016,SR-4,,,59.95,seconds,Willie Williams Classic,2016-03-18,,,,Outdoor,https://www.tfrrs.org/results/43804/2718911/Willie_Williams_Classic/400-Hurdles,TFRRS all_performances
"Warren, Katelin",Arizona,Big 12,400m,2016,SO-2,,,56.27,seconds,Willie Williams Classic,2016-03-18,,,,Outdoor,https://www.tfrrs.org/results/43804/2718878/Willie_Williams_Classic/400-Meters,TFRRS all_performances
"Watson, Sage",Arizona,Big 12,400m,2016,JR-3,,,53.02,seconds,Willie Williams Classic,2016-03-18,,,,Outdoor,https://www.tfrrs.org/results/43804/2718878/Willie_Williams_Classic/400-Meters,TFRRS all_performances
"Bonds, Tiana",Arizona,Big 12,100H,2016,SO-2,,,14.22,seconds,Jim Bush Collegiate Invitational,2016-03-22,,,1.6,Outdoor,https://www.tfrrs.org/results/43380/2728657/Jim_Bush_Collegiate_Invitational/100-Hurdles,TFRRS all_performances
"Hailey, Nnenya",Arizona,Big 12,100H,2016,SR-4,,,13.33,seconds,Jim Bush Collegiate Invitational,2016-03-22,,,1.6,Outdoor,https://www.tfrrs.org/results/43380/2728657/Jim_Bush_Collegiate_Invitational/100-Hurdles,TFRRS all_performances
"Hicks, Traci",Arizona,Big 12,100H,2016,SR-4,,,14.01,seconds,Jim Bush Collegiate Invitational,2016-03-22,,,1.6,Outdoor,https://www.tfrrs.org/results/43380/2728657/Jim_Bush_Collegiate_Invitational/100-Hurdles,TFRRS all_performances
"Hailey, Nnenya",Arizona,Big 12,400H,2016,SR-4,,,59.64,seconds,Jim Bush Collegiate Invitational,2016-03-22,,,,Outdoor,https://www.tfrrs.org/results/43380/2728639/Jim_Bush_Collegiate_Invitational/400-Hurdles,TFRRS all_performances
"Struble, Morgan",Arizona,Big 12,400H,2016,SR-4,,,1:01.13,seconds,Jim Bush Collegiate Invitational,2016-03-22,,,,Outdoor,https://www.tfrrs.org/results/43380/2728639/Jim_Bush_Collegiate_Invitational/400-Hurdles,TFRRS all_performances
