athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Nettles, Kenli",Illinois,Big Ten,100H,2022,FR-1,,,14.98,seconds,Ole Miss Classic,2022-03-25,,,-1.8,Outdoor,https://www.tfrrs.org/results/71559/4443819/Ole_Miss_Classic/100-Hurdles,TFRRS all_performances
"Neely, Logan",Illinois,Big Ten,400H,2022,FR-1,,,1:02.24,seconds,Ole Miss Classic,2022-03-25,,,,Outdoor,https://www.tfrrs.org/results/71559/4443827/Ole_Miss_Classic/400-Hurdles,TFRRS all_performances
"Weaver, Kionna",Illinois,Big Ten,400H,2022,SO-2,,,1:03.34,seconds,Ole Miss Classic,2022-03-25,,,,Outdoor,https://www.tfrrs.org/results/71559/4443827/Ole_Miss_Classic/400-Hurdles,TFRRS all_performances
"Humphrey, Tacoria",Illinois,Big Ten,400m,2022,FR-1,,,1:03.06,seconds,Ole Miss Classic,2022-03-25,,,,Outdoor,https://www.tfrrs.org/results/71559/4443834/Ole_Miss_Classic/400-Meters,TFRRS all_performances
"McDowell, Jessica",Illinois,Big Ten,400m,2022,SO-2,,,53.24,seconds,Ole Miss Classic,2022-03-25,,,,Outdoor,https://www.tfrrs.org/results/71559/4443834/Ole_Miss_Classic/400-Meters,TFRRS all_performances
"Stoughton, Danni",Illinois,Big Ten,400m,2022,SO-2,,,55.94,seconds,Ole Miss Classic,2022-03-25,,,,Outdoor,https://www.tfrrs.org/results/71559/4443834/Ole_Miss_Classic/400-Meters,TFRRS all_performances
"Weaver, Kionna",Illinois,Big Ten,400H,2022,SO-2,,,1:05.36,seconds,Redbird Invite,2022-04-01,,,,Outdoor,https://www.tfrrs.org/results/73300/4461388/Redbird_Invite/400-Hurdles,TFRRS all_performances
"Abraham, Mia",Illinois,Big Ten,400m,2022,FR-1,,,59.12,seconds,Redbird Invite,2022-04-01,,,,Outdoor,https://www.tfrrs.org/results/73300/4461378/Redbird_Invite/400-Meters,TFRRS all_performances
"Neely, Logan",Illinois,Big Ten,400H,2022,FR-1,,,1:01.69,seconds,Illini Classic,2022-04-09,,,,Outdoor,https://www.tfrrs.org/results/73327/4485772/Illini_Classic/400-Hurdles,TFRRS all_performances
"Weaver, Kionna",Illinois,Big Ten,400H,2022,SO-2,,,1:04.04,seconds,Illini Classic,2022-04-09,,,,Outdoor,https://www.tfrrs.org/results/73327/4485772/Illini_Classic/400-Hurdles,TFRRS all_performances
