athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Erin Marsh,Duke,ACC,100H,2019,,,,13.82,s,HPU VertKlasse Meet,2019-03-23,Final,2,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Isabel Wakefield,Duke,ACC,100H,2019,,,,14.89,s,HPU VertKlasse Meet,2019-03-23,Final,8,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Kate Kutzer,Duke,ACC,100H,2019,,,,15.25,s,HPU VertKlasse Meet,2019-03-23,Final,11,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Lauren Hoffman,Duke,ACC,100H,2019,,,,13.98,s,HPU VertKlasse Meet,2019-03-23,Final,3,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
India Lowe,Duke,ACC,400H,2019,,,,58.60,s,HPU VertKlasse Meet,2019-03-23,Final,1,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Lauren Hoffman,Duke,ACC,400H,2019,,,,58.94,s,HPU VertKlasse Meet,2019-03-23,Final,2,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Brittany Aveni,Duke,ACC,400m,2019,,,,54.83,s,HPU VertKlasse Meet,2019-03-23,Final,2,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Simi Gbadegesin,Duke,ACC,400m,2019,,,,56.99,s,HPU VertKlasse Meet,2019-03-23,Final,2,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Virginia Capehart,Duke,ACC,400m,2019,,,,57.17,s,HPU VertKlasse Meet,2019-03-23,Final,11,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Erin Marsh,Duke,ACC,100H,2019,,,,13.51,s,Texas Relays,2019-03-30,Heptathlon,1,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Isabel Wakefield,Duke,ACC,100H,2019,,,,14.30,s,Texas Relays,2019-03-30,Heptathlon,9,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Kate Kutzer,Duke,ACC,100H,2019,,,,14.97,s,Texas Relays,2019-03-30,Heptathlon,20,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
Lauren Hoffman,Duke,ACC,100H,2019,,,,14.03,s,Raleigh Relays,2019-03-30,Final,32,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
India Lowe,Duke,ACC,400H,2019,,,,60.04,s,Texas Relays,2019-03-30,Final,7,,Outdoor,https://static.goduke.com/custompages/web-docs/track/2018-19/2019trackresults.pdf,audited_2026-09-21; Duke official 2019 outdoor season results PDF
