athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Clerveaux, Vanessa",Alabama,SEC,100H,2016,JR-3,,,13.46,seconds,Alabama Relays,2016-03-17,,,-1.0,Outdoor,https://www.tfrrs.org/results/44542/2717972/Alabama_Relays/100-Hurdles,TFRRS all_performances
"Jackson, Jada",Alabama,SEC,400H,2016,FR-1,,,1:08.24,seconds,Alabama Relays,2016-03-17,,,,Outdoor,https://www.tfrrs.org/results/44542/2717960/Alabama_Relays/400-Hurdles,TFRRS all_performances
"Walker, Kaitlin",Alabama,SEC,400H,2016,SO-2,,,1:01.20,seconds,Alabama Relays,2016-03-17,,,,Outdoor,https://www.tfrrs.org/results/44542/2717960/Alabama_Relays/400-Hurdles,TFRRS all_performances
"Pate, Janel",Alabama,SEC,400m,2016,FR-1,,,57.39,seconds,Alabama Relays,2016-03-17,,,,Outdoor,https://www.tfrrs.org/results/44542/2717958/Alabama_Relays/400-Meters,TFRRS all_performances
"Dent, Lacey",Alabama,SEC,Long Jump,2016,SR-4,,,5.84,m,Alabama Relays,2016-03-17,,,0.2,Outdoor,https://www.tfrrs.org/results/44542/2717975/Alabama_Relays/Long-Jump,TFRRS all_performances
"Clerveaux, Vanessa",Alabama,SEC,100H,2016,JR-3,,,13.49,seconds,Florida State Relays,2016-03-25,,,-0.3,Outdoor,https://www.tfrrs.org/results/44862/2735541/Florida_State_Relays/100-Hurdles,TFRRS all_performances
"Jackson, Jada",Alabama,SEC,400H,2016,FR-1,,,1:09.20,seconds,Florida State Relays,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44862/2735540/Florida_State_Relays/400-Hurdles,TFRRS all_performances
"Walker, Kaitlin",Alabama,SEC,400H,2016,SO-2,,,1:01.77,seconds,Florida State Relays,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44862/2735540/Florida_State_Relays/400-Hurdles,TFRRS all_performances
"Funcheon, Katie",Alabama,SEC,400m,2016,FR-1,,,55.31,seconds,Florida State Relays,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44862/2735537/Florida_State_Relays/400-Meters,TFRRS all_performances
"Gholston, Alex",Alabama,SEC,400m,2016,JR-3,,,55.21,seconds,Florida State Relays,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44862/2735537/Florida_State_Relays/400-Meters,TFRRS all_performances
"Dent, Lacey",Alabama,SEC,Long Jump,2016,SR-4,,,5.78,m,Florida State Relays,2016-03-25,,,-0.4,Outdoor,https://www.tfrrs.org/results/44862/2735554/Florida_State_Relays/Long-Jump,TFRRS all_performances
"Walker, Kaitlin",Alabama,SEC,400H,2016,SO-2,,,1:02.48,seconds,Florida Relays,2016-03-31,,,,Outdoor,https://www.tfrrs.org/results/43368/2772321/Florida_Relays/400-Hurdles,TFRRS all_performances
"Funcheon, Katie",Alabama,SEC,400m,2016,FR-1,,,54.92,seconds,Florida Relays,2016-03-31,,,,Outdoor,https://www.tfrrs.org/results/43368/2772283/Florida_Relays/400-Meters,TFRRS all_performances
"Gholston, Alex",Alabama,SEC,400m,2016,JR-3,,,53.59,seconds,Florida Relays,2016-03-31,,,,Outdoor,https://www.tfrrs.org/results/43368/2772283/Florida_Relays/400-Meters,TFRRS all_performances
"Pate, Janel",Alabama,SEC,400m,2016,FR-1,,,57.48,seconds,Florida Relays,2016-03-31,,,,Outdoor,https://www.tfrrs.org/results/43368/2772283/Florida_Relays/400-Meters,TFRRS all_performances
"Williams, Domonique",Alabama,SEC,400m,2016,JR-3,,,54.05,seconds,Florida Relays,2016-03-31,,,,Outdoor,https://www.tfrrs.org/results/43368/2772283/Florida_Relays/400-Meters,TFRRS all_performances
"Fotopoulou , Filippa",Alabama,SEC,Long Jump,2016,SO-2,,,6.02,m,Florida Relays,2016-03-31,,,0.3,Outdoor,https://www.tfrrs.org/results/43368/2772285/Florida_Relays/Long-Jump,TFRRS all_performances
"Williams, Kiara",Alabama,SEC,Long Jump,2016,FR-1,,,6.02,m,Florida Relays,2016-03-31,,,+0.0,Outdoor,https://www.tfrrs.org/results/43368/2772285/Florida_Relays/Long-Jump,TFRRS all_performances
"Clerveaux, Vanessa",Alabama,SEC,100H,2016,JR-3,,,13.4,seconds,Florida Relays,2016-04-02,Final,14,2.5,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,legacy_source_needs_review
"Clerveaux, Vanessa",Alabama,SEC,100H,2016,JR-3,,,13.52,seconds,LSU Battle on the Bayou,2016-04-09,Final,4,2.9,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,legacy_source_needs_review
"Walker, Kaitlin",Alabama,SEC,400H,2016,SO-2,,,1:02.28,seconds,LSU Battle on the Bayou,2016-04-09,,,,Outdoor,https://www.tfrrs.org/results/41856/2780902/LSU_Battle_on_the_Bayou/400-Hurdles,TFRRS all_performances
"Gholston, Alex",Alabama,SEC,400m,2016,JR-3,,,52.98,seconds,LSU Battle on the Bayou,2016-04-09,,,,Outdoor,https://www.tfrrs.org/results/41856/2780899/LSU_Battle_on_the_Bayou/400-Meters,TFRRS all_performances
