athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Domonique Williams,Alabama,SEC,400m,2017,SR,,,52.41,seconds,Jim Bush Collegiate Invitational,2017-04-15,Final,2,,Outdoor,https://www.tfrrs.org/athletes/5612047/Alabama/Domonique_Williams,Verified 2017 outdoor result; audited against available season/athlete sources
Domonique Williams,Alabama,SEC,400m,2017,SR,,,53.05,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,7,,Outdoor,https://www.tfrrs.org/athletes/5612047/Alabama/Domonique_Williams,Verified 2017 outdoor result; audited against available season/athlete sources
Domonique Williams,Alabama,SEC,400m,2017,SR,,,52.54,seconds,SEC Outdoor Track & Field Championships,2017-05-13,Final,2,,Outdoor,https://www.tfrrs.org/athletes/5612047/Alabama/Domonique_Williams,Verified 2017 outdoor result; audited against available season/athlete sources
Domonique Williams,Alabama,SEC,400m,2017,SR,,,52.56,seconds,NCAA Division I East Preliminary Round,2017-05-25,First Round,2,,Outdoor,https://www.tfrrs.org/athletes/5612047/Alabama/Domonique_Williams,Verified 2017 outdoor result; audited against available season/athlete sources
Domonique Williams,Alabama,SEC,400m,2017,SR,,,51.90,seconds,NCAA Division I East Preliminary Round,2017-05-26,Quarterfinal,4,,Outdoor,https://www.tfrrs.org/athletes/5612047/Alabama/Domonique_Williams,Verified 2017 outdoor result; audited against available season/athlete sources
Domonique Williams,Alabama,SEC,400m,2017,SR,,,52.50,seconds,NCAA Division I Outdoor Track & Field Championships,2017-06-08,Semifinal,11,,Outdoor,https://www.tfrrs.org/athletes/5612047/Alabama/Domonique_Williams,Verified 2017 outdoor result; audited against available season/athlete sources
Takyera Roberson,Alabama,SEC,400m,2017,FR,,,53.95,seconds,Crimson Tide Invitational,2017-04-08,Final,3,,Outdoor,https://www.tfrrs.org/athletes/6097002/Alabama/Takyera_Roberson.html,Verified 2017 outdoor result; audited against available season/athlete sources
Takyera Roberson,Alabama,SEC,400m,2017,FR,,,52.51,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,3,,Outdoor,https://www.tfrrs.org/athletes/6097002/Alabama/Takyera_Roberson.html,Verified 2017 outdoor result; audited against available season/athlete sources
Takyera Roberson,Alabama,SEC,400m,2017,FR,,,52.94,seconds,SEC Outdoor Track & Field Championships,2017-05-13,Final,6,,Outdoor,https://www.tfrrs.org/athletes/6097002/Alabama/Takyera_Roberson.html,Verified 2017 outdoor result; audited against available season/athlete sources
Takyera Roberson,Alabama,SEC,400m,2017,FR,,,53.29,seconds,NCAA Division I East Preliminary Round,2017-05-25,First Round,15,,Outdoor,https://www.tfrrs.org/athletes/6097002/Alabama/Takyera_Roberson.html,Verified 2017 outdoor result; audited against available season/athlete sources
Takyera Roberson,Alabama,SEC,400m,2017,FR,,,52.41,seconds,NCAA Division I East Preliminary Round,2017-05-26,Quarterfinal,12,,Outdoor,https://www.tfrrs.org/athletes/6097002/Alabama/Takyera_Roberson.html,Verified 2017 outdoor result; audited against available season/athlete sources
Takyera Roberson,Alabama,SEC,400m,2017,FR,,,53.15,seconds,NCAA Division I Outdoor Track & Field Championships,2017-06-08,Semifinal,12,,Outdoor,https://www.tfrrs.org/athletes/6097002/Alabama/Takyera_Roberson.html,Verified 2017 outdoor result; audited against available season/athlete sources
Alex Gholston,Alabama,SEC,400m,2017,SR,,,52.79,seconds,Florida Relays,2017-03-31,Final,4,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2017 outdoor result; audited against available season/athlete sources
Alex Gholston,Alabama,SEC,400m,2017,SR,,,53.37,seconds,SEC Outdoor Track & Field Championships,2017-05-12,Prelim,10,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2017 outdoor result; audited against available season/athlete sources
Alex Gholston,Alabama,SEC,400m,2017,SR,,,53.93,seconds,NCAA Division I East Preliminary Round,2017-05-25,First Round,23,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2017 outdoor result; audited against available season/athlete sources
Alex Gholston,Alabama,SEC,400m,2017,SR,,,53.74,seconds,NCAA Division I East Preliminary Round,2017-05-26,Quarterfinal,23,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2017 outdoor result; audited against available season/athlete sources
Nicole Sassaman,Alabama,SEC,400m,2017,JR,,,57.98,seconds,War Eagle Invitational,2017-04-22,Final,15,,Outdoor,https://rolltide.com/documents/download/2017/6/19/Outdoor_Track_Field_Notes_Season_Review.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Hope Mazi,Alabama,SEC,400m,2017,FR,,,59.24,seconds,War Eagle Invitational,2017-04-22,Final,17,,Outdoor,https://www.tfrrs.org/athletes/6146954/Alabama/Hope_Mazi,Verified 2017 outdoor result; audited against available season/athlete sources
Vanessa Clerveaux,Alabama,SEC,100H,2017,SR,,,13.39,seconds,Florida Relays,2017-03-31,Final,10,,Outdoor,https://rolltide.com/documents/download/2017/6/19/Outdoor_Track_Field_Notes_Season_Review.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
Vanessa Clerveaux,Alabama,SEC,100H,2017,SR,,,13.29,seconds,Crimson Tide Invitational,2017-04-08,Final,1,,Outdoor,https://rolltide.com/documents/download/2017/6/19/Outdoor_Track_Field_Notes_Season_Review.pdf,Verified 2017 outdoor result; audited against available season/athlete sources
